"Mead_Surplus_DV Row cat 0" "Mead_Surplus_DV Row cat 1" "Mead_Shortage_e_DV Row cat 0" "Mead_Shortage_e_DV Row cat 1" "Mead_Shortage_e_DV Row cat 2" "Mead_Shortage_e_DV Row cat 3" "Mead_Shortage_e_DV Row cat 4" "Mead_Shortage_e_DV Row cat 5" "Mead_Shortage_e_DV Row cat 6" "Mead_Shortage_e_DV Row cat 7" "Mead_Shortage_V_DV Row cat 0" "Mead_Shortage_V_DV Row cat 1" "Mead_Shortage_V_DV Row cat 2" "Mead_Shortage_V_DV Row cat 3" "Mead_Shortage_V_DV Row cat 4" "Mead_Shortage_V_DV Row cat 5" "Mead_Shortage_V_DV Row cat 6" "Mead_Shortage_V_DV Row cat 7" "Powell_Tier_Elevation_DV.txt Row cat 0" "Powell_Tier_Elevation_DV.txt Row cat 1" "Powell_Tier_Elevation_DV.txt Row cat 2" "Powell_Tier_Elevation_DV.txt Row cat 3" "Powell_Tier_Elevation_DV.txt Row cat 4" "Powell_Mead_Reference_Elevation_DV Row cat 0" "Powell_Mead_Reference_Elevation_DV Row cat 1" "Powell_Mead_Reference_Elevation_DV Row cat 2" "Powell_Mead_Reference_Elevation_DV Row cat 3" "Powell_Mead_Reference_Elevation_DV Row cat 4" "Powell_Range_Number_DV Row cat 0" "Powell_Range_Number_DV Row cat 1" "Powell_Range_Number_DV Row cat 2" "Powell_Range_Number_DV Row cat 3" "Powell_Range_Number_DV Row cat 4" "Powell_Balance_Tier_Variable_DV Row cat 0" "Powell_Balance_Tier_Variable_DV Row cat 1" "Powell_Balance_Tier_Variable_DV Row cat 2" "Powell_Balance_Tier_Variable_DV Row cat 3" "Powell_Balance_Tier_Variable_DV Row cat 4" "Powell_Primary_Release_Volume_DV Row cat 0" "Powell_Primary_Release_Volume_DV Row cat 1" "Powell_Primary_Release_Volume_DV Row cat 2" "Powell_Primary_Release_Volume_DV Row cat 3" "Powell_Primary_Release_Volume_DV Row cat 4" "Powell_Increment_EQ_DV" "Objectives.Objective_Powell_3490" "Objectives.Objective_Powell_WY_Release" "Objectives.Objective_Lee_Ferry_Deficit" "Objectives.Objective_Avg_Combo_Storage" "Objectives.Objective_Mead_1000" "Objectives.Objective_LB_Shortage_Volume" "Objectives.Objective_Max_Annual_LB_Shortage" "Objectives.Objective_Max_Delta_Annual_Shortage" "Objectives.Objective_LB_Shortage_Frequency"
30.000000 20.000000 1095.000000 995.000000 990.000000 985.000000 980.000000 980.000000 975.000000 975.000000 450000.000000 150000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 3640.000000 3585.000000 3490.000000 3490.000000 3490.000000 1065.000000 1050.000000 1045.000000 990.000000 975.000000 8.000000 46.000000 8.000000 28.000000 14.000000 1.000000 1.000000 0.000000 0.000000 0.000000 7910000.000000 6530000.000000 5940000.000000 5370000.000000 5050000.000000 0.000000 23.540000 8551506.560000 20.000000 -9943326.350000 78.750000 677676.840000 450000.000000 350000.000000 97.500000
20.000000 20.000000 1020.000000 985.000000 980.000000 975.000000 975.000000 975.000000 975.000000 975.000000 1300000.000000 1250000.000000 800000.000000 400000.000000 100000.000000 100000.000000 100000.000000 100000.000000 3525.000000 3505.000000 3490.000000 3490.000000 3490.000000 1095.000000 1090.000000 1040.000000 1025.000000 995.000000 14.000000 1.000000 4.000000 11.000000 31.000000 0.000000 0.000000 1.000000 0.000000 1.000000 9950000.000000 9130000.000000 5140000.000000 5020000.000000 5020000.000000 1.000000 54.790000 8696172.810000 12.500000 -8971800.460000 56.250000 520536.500000 1300000.000000 1300000.000000 70.000000
20.000000 5.000000 1060.000000 1040.000000 995.000000 985.000000 980.000000 975.000000 975.000000 975.000000 550000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 3680.000000 3665.000000 3595.000000 3565.000000 3560.000000 1015.000000 980.000000 975.000000 975.000000 975.000000 2.000000 44.000000 15.000000 39.000000 18.000000 1.000000 0.000000 1.000000 1.000000 1.000000 8570000.000000 8440000.000000 5970000.000000 5590000.000000 5320000.000000 1.000000 35.420000 8526164.570000 20.000000 -9130997.210000 89.580000 620417.610000 550000.000000 450000.000000 100.000000
10.000000 5.000000 1075.000000 990.000000 975.000000 975.000000 975.000000 975.000000 975.000000 975.000000 550000.000000 250000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 3645.000000 3610.000000 3585.000000 3545.000000 3495.000000 1090.000000 1015.000000 1000.000000 980.000000 980.000000 40.000000 39.000000 29.000000 21.000000 15.000000 0.000000 0.000000 0.000000 0.000000 1.000000 8250000.000000 7170000.000000 6580000.000000 5930000.000000 5600000.000000 1.000000 0.000000 8044817.870000 25.000000 -15057527.700000 76.880000 900339.320000 550000.000000 550000.000000 97.500000
65.000000 35.000000 1035.000000 1000.000000 980.000000 980.000000 975.000000 975.000000 975.000000 975.000000 1400000.000000 400000.000000 350000.000000 150000.000000 150000.000000 100000.000000 100000.000000 100000.000000 3580.000000 3500.000000 3490.000000 3490.000000 3490.000000 1000.000000 975.000000 975.000000 975.000000 975.000000 14.000000 26.000000 23.000000 32.000000 42.000000 0.000000 0.000000 1.000000 0.000000 1.000000 12560000.000000 6530000.000000 5350000.000000 5330000.000000 5030000.000000 2.000000 50.000000 8716693.950000 12.500000 -9927676.960000 48.330000 579461.710000 1400000.000000 1400000.000000 70.000000
20.000000 15.000000 995.000000 995.000000 990.000000 985.000000 985.000000 975.000000 975.000000 975.000000 2100000.000000 1000000.000000 850000.000000 250000.000000 150000.000000 100000.000000 100000.000000 100000.000000 3605.000000 3525.000000 3520.000000 3495.000000 3495.000000 1020.000000 990.000000 990.000000 975.000000 975.000000 10.000000 30.000000 20.000000 0.000000 38.000000 0.000000 1.000000 0.000000 0.000000 0.000000 10110000.000000 7730000.000000 6140000.000000 5550000.000000 5120000.000000 2.000000 20.630000 8525186.180000 17.500000 -12498204.720000 45.420000 734642.580000 2100000.000000 2100000.000000 37.500000
10.000000 0.000000 1015.000000 985.000000 985.000000 975.000000 975.000000 975.000000 975.000000 975.000000 1700000.000000 750000.000000 350000.000000 100000.000000 100000.000000 100000.000000 100000.000000 100000.000000 3545.000000 3525.000000 3510.000000 3505.000000 3495.000000 995.000000 980.000000 980.000000 975.000000 975.000000 28.000000 45.000000 23.000000 19.000000 2.000000 0.000000 0.000000 0.000000 1.000000 1.000000 7400000.000000 6630000.000000 5240000.000000 5130000.000000 5060000.000000 1.000000 14.370000 8465560.060000 12.500000 -11681274.080000 57.080000 674743.000000 1700000.000000 1700000.000000 57.500000
75.000000 40.000000 1005.000000 995.000000 985.000000 975.000000 975.000000 975.000000 975.000000 975.000000 1750000.000000 1450000.000000 600000.000000 350000.000000 250000.000000 250000.000000 200000.000000 150000.000000 3605.000000 3580.000000 3500.000000 3495.000000 3495.000000 995.000000 980.000000 980.000000 975.000000 975.000000 2.000000 39.000000 27.000000 15.000000 31.000000 0.000000 0.000000 1.000000 1.000000 1.000000 7260000.000000 5790000.000000 5510000.000000 5050000.000000 5010000.000000 3.000000 0.000000 7939412.070000 32.500000 -17028715.810000 71.460000 1110205.610000 1750000.000000 1750000.000000 72.500000
50.000000 20.000000 1025.000000 1000.000000 1000.000000 995.000000 980.000000 975.000000 975.000000 975.000000 350000.000000 150000.000000 150000.000000 150000.000000 100000.000000 100000.000000 100000.000000 100000.000000 3630.000000 3515.000000 3510.000000 3510.000000 3500.000000 1040.000000 1010.000000 985.000000 975.000000 975.000000 4.000000 44.000000 41.000000 26.000000 41.000000 1.000000 1.000000 0.000000 0.000000 0.000000 8490000.000000 7450000.000000 6780000.000000 6500000.000000 6350000.000000 3.000000 31.870000 8626636.010000 15.000000 -9130919.880000 71.880000 545632.940000 350000.000000 250000.000000 77.500000
65.000000 25.000000 1070.000000 1060.000000 1030.000000 1020.000000 980.000000 980.000000 975.000000 975.000000 2150000.000000 1500000.000000 950000.000000 600000.000000 100000.000000 100000.000000 100000.000000 100000.000000 3630.000000 3625.000000 3490.000000 3490.000000 3490.000000 1015.000000 995.000000 985.000000 980.000000 980.000000 30.000000 46.000000 10.000000 8.000000 33.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12460000.000000 7740000.000000 6780000.000000 6320000.000000 6120000.000000 2.000000 15.210000 8390730.000000 15.000000 -13773612.970000 62.080000 890000.010000 2150000.000000 2150000.000000 90.000000
